Proteins	Accession	MW	EMT.RB3.01	EMT.RB3.02	EMT.RB3.03	EMT.RB4.01	EMT.RB4.02	EMT.RB4.03	Ctrl.RB3.01	Ctrl.RB3.02	Ctrl.RB3.03	Ctrl.RB4.01	Ctrl.RB4.02	Ctrl.RB4.03
Fibrillin-2 OS=Homo sapiens GN=FBN2 PE=1 SV=3	FBN2_HUMAN	315 kDa	42	47	40	45	53	49	49	50	41	63	64	54
Cathepsin B OS=Homo sapiens GN=CTSB PE=1 SV=3	CATB_HUMAN	38 kDa	27	23	21	18	20	20	92	84	71	88	83	73
Collagen alpha-1(VII) chain OS=Homo sapiens GN=COL7A1 PE=1 SV=2	CO7A1_HUMAN	295 kDa	68	68	66	85	75	76	22	25	16	44	38	39
WD repeat-containing protein 1 OS=Homo sapiens GN=WDR1 PE=1 SV=4	WDR1_HUMAN	66 kDa	44	55	45	46	50	40	50	45	45	43	50	45
Urokinase-type plasminogen activator OS=Homo sapiens GN=PLAU PE=1 SV=2	UROK_HUMAN	49 kDa	78	88	83	82	85	82	10	18	13	22	21	18
Complement C1r subcomponent OS=Homo sapiens GN=C1R PE=1 SV=2	C1R_HUMAN	80 kDa	30	36	37	35	29	28	65	62	60	64	69	58
Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens GN=EIF5A PE=1 SV=2	IF5A1_HUMAN	17 kDa	49	61	49	47	45	46	63	52	44	43	48	41
Collagen alpha-1(V) chain OS=Homo sapiens GN=COL5A1 PE=1 SV=3	CO5A1_HUMAN	184 kDa	73	79	68	77	81	76	14	18	10	31	29	28
Neuropilin-2 OS=Homo sapiens GN=NRP2 PE=1 SV=2	NRP2_HUMAN	105 kDa	65	70	70	68	72	75	18	22	16	27	22	18
Follistatin-related protein 3 OS=Homo sapiens GN=FSTL3 PE=1 SV=1	FSTL3_HUMAN	28 kDa	51	56	49	52	46	55	46	49	38	54	51	46
14-3-3 protein gamma OS=Homo sapiens GN=YWHAG PE=1 SV=2	1433G_HUMAN	28 kDa	61	65	62	64	63	58	61	59	50	63	58	53
Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Homo sapiens GN=UCHL1 PE=1 SV=2	UCHL1_HUMAN	25 kDa	55	50	49	50	47	43	59	61	43	55	51	46
Attractin OS=Homo sapiens GN=ATRN PE=1 SV=2	ATRN_HUMAN	159 kDa	37	38	44	43	44	42	59	51	47	63	61	60
Aldo-keto reductase family 1 member C2 OS=Homo sapiens GN=AKR1C2 PE=1 SV=3	AK1C2_HUMAN	37 kDa	46	52	45	40	47	42	88	73	81	74	77	74
Cathepsin D OS=Homo sapiens GN=CTSD PE=1 SV=1	CATD_HUMAN	45 kDa	26	32	30	29	27	29	76	78	61	61	68	63
Polypeptide N-acetylgalactosaminyltransferase 2 OS=Homo sapiens GN=GALNT2 PE=1 SV=1	GALT2_HUMAN	65 kDa	46	47	45	44	41	45	40	56	43	53	53	51
Leukotriene A-4 hydrolase OS=Homo sapiens GN=LTA4H PE=1 SV=2	LKHA4_HUMAN	69 kDa	46	45	49	42	45	40	51	54	45	49	46	44
Quinone oxidoreductase PIG3 OS=Homo sapiens GN=TP53I3 PE=1 SV=2	QORX_HUMAN	36 kDa	50	60	55	58	67	57	33	27	29	29	35	32
Low-density lipoprotein receptor OS=Homo sapiens GN=LDLR PE=1 SV=1	LDLR_HUMAN	95 kDa	32	26	33	34	34	35	53	58	40	61	64	52
Golgi membrane protein 1 OS=Homo sapiens GN=GOLM1 PE=1 SV=1	GOLM1_HUMAN	45 kDa	32	36	37	42	39	38	65	55	53	57	58	56
Legumain OS=Homo sapiens GN=LGMN PE=1 SV=1	LGMN_HUMAN	49 kDa	52	45	44	51	43	45	56	45	43	51	47	42
Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2	PPIB_HUMAN	24 kDa	31	29	29	33	35	33	38	35	30	45	37	39
Amyloid-like protein 2 OS=Homo sapiens GN=APLP2 PE=1 SV=2	APLP2_HUMAN	87 kDa	55	56	53	57	57	52	40	39	35	53	38	38
Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4	EZRI_HUMAN	69 kDa	46	62	63	48	52	59	81	86	76	57	69	72
Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2	CALM_HUMAN	17 kDa	41	43	41	43	42	46	41	45	39	50	39	37
NADP-dependent malic enzyme OS=Homo sapiens GN=ME1 PE=1 SV=1	MAOX_HUMAN	64 kDa	38	38	36	39	40	40	54	50	34	65	50	43
Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1 PE=1 SV=2	TPM1_HUMAN	33 kDa	51	59	56	56	56	54	38	38	24	36	26	27
Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3	NUCL_HUMAN	77 kDa	29	34	32	14	12	14	78	80	74	39	41	39
Latent-transforming growth factor beta-binding protein 3 OS=Homo sapiens GN=LTBP3 PE=1 SV=4	LTBP3_HUMAN	139 kDa	57	63	65	61	53	56	36	28	22	30	25	32
Collagen alpha-1(IV) chain OS=Homo sapiens GN=COL4A1 PE=1 SV=3	CO4A1_HUMAN	161 kDa	68	78	79	90	75	84	7	4	5	14	14	14
Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3	PEBP1_HUMAN	21 kDa	39	46	48	48	42	46	54	47	45	55	50	48
Complement factor H OS=Homo sapiens GN=CFH PE=1 SV=4	CFAH_HUMAN	139 kDa	1	1	1	0	0	1	86	101	77	80	85	76
Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2	GSTP1_HUMAN	23 kDa	43	39	47	48	39	43	46	47	43	48	39	43
Malate dehydrogenase, mitochondrial OS=Homo sapiens GN=MDH2 PE=1 SV=3	MDHM_HUMAN	36 kDa	38	42	37	43	45	41	49	50	43	52	55	55
Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5	CLH1_HUMAN	192 kDa	46	42	46	48	40	44	48	55	38	40	33	28
Epididymal secretory protein E1 OS=Homo sapiens GN=NPC2 PE=1 SV=1	NPC2_HUMAN	17 kDa	38	51	47	45	44	48	30	27	29	31	34	30
Connective tissue growth factor OS=Homo sapiens GN=CTGF PE=1 SV=2	CTGF_HUMAN	38 kDa	49	55	51	58	54	58	26	27	23	34	31	32
Fascin OS=Homo sapiens GN=FSCN1 PE=1 SV=3	FSCN1_HUMAN	55 kDa	47	53	51	50	50	46	40	38	35	45	44	38
14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB PE=1 SV=3	1433B_HUMAN	28 kDa	64	58	60	61	60	60	62	63	57	67	56	58
Gelsolin OS=Homo sapiens GN=GSN PE=1 SV=1	GELS_HUMAN	86 kDa	28	27	27	24	23	19	56	53	50	59	49	54
Transaldolase OS=Homo sapiens GN=TALDO1 PE=1 SV=2	TALDO_HUMAN	38 kDa	32	39	39	35	36	34	46	44	45	38	36	36
Dystroglycan OS=Homo sapiens GN=DAG1 PE=1 SV=2	DAG1_HUMAN	97 kDa	24	28	26	28	25	30	47	46	40	48	46	47
Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4	TERA_HUMAN	89 kDa	39	40	37	41	33	39	44	42	44	51	37	38
Protein DJ-1 OS=Homo sapiens GN=PARK7 PE=1 SV=2	PARK7_HUMAN	20 kDa	34	36	36	34	30	38	40	45	30	38	40	40
Radixin OS=Homo sapiens GN=RDX PE=1 SV=1	RADI_HUMAN	69 kDa	57	76	78	60	72	69	52	57	44	43	41	48
Granulins OS=Homo sapiens GN=GRN PE=1 SV=2	GRN_HUMAN	64 kDa	29	30	31	37	38	31	37	37	34	38	41	43
Tropomyosin alpha-4 chain OS=Homo sapiens GN=TPM4 PE=1 SV=3	TPM4_HUMAN	29 kDa	50	62	60	59	60	53	62	62	48	53	50	54
Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2	PNPH_HUMAN	32 kDa	49	44	45	49	51	50	28	32	27	37	30	34
Phosphoserine aminotransferase OS=Homo sapiens GN=PSAT1 PE=1 SV=2	SERC_HUMAN	40 kDa	23	23	18	26	22	22	48	46	37	59	50	47
Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1	EF1A1_HUMAN	50 kDa	40	41	37	37	33	30	47	42	33	28	22	23
DNA-(apurinic or apyrimidinic site) lyase OS=Homo sapiens GN=APEX1 PE=1 SV=2	APEX1_HUMAN	36 kDa	37	40	35	39	33	36	36	35	32	42	40	37
Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4	CLIC1_HUMAN	27 kDa	37	39	34	42	36	31	46	41	32	44	40	37
Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3	FAS_HUMAN	273 kDa	26	29	29	23	24	23	67	67	56	40	28	33
Hepatoma-derived growth factor OS=Homo sapiens GN=HDGF PE=1 SV=1	HDGF_HUMAN	27 kDa	35	37	35	39	34	32	47	40	35	32	33	37
Glutaminyl-peptide cyclotransferase OS=Homo sapiens GN=QPCT PE=1 SV=1	QPCT_HUMAN	41 kDa	30	40	37	37	42	43	32	31	28	38	40	35
Neuropilin-1 OS=Homo sapiens GN=NRP1 PE=1 SV=3	NRP1_HUMAN	103 kDa	12	15	11	15	18	13	61	61	45	68	67	55
Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2	NPM_HUMAN	33 kDa	31	32	30	15	15	13	63	55	60	40	28	27
Fibulin-1 OS=Homo sapiens GN=FBLN1 PE=1 SV=4	FBLN1_HUMAN	77 kDa	25	28	30	32	27	37	50	42	43	50	49	45
Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=1 SV=2	PSA_HUMAN	103 kDa	30	24	26	35	31	28	44	50	39	54	48	41
14-3-3 protein sigma OS=Homo sapiens GN=SFN PE=1 SV=1	1433S_HUMAN	28 kDa	41	40	41	48	43	45	53	49	40	48	45	37
Nicotinamide phosphoribosyltransferase OS=Homo sapiens GN=NAMPT PE=1 SV=1	NAMPT_HUMAN	56 kDa	26	27	32	29	30	25	50	51	46	35	31	27
Protein S100-A11 OS=Homo sapiens GN=S100A11 PE=1 SV=2	S10AB_HUMAN	12 kDa	35	35	34	35	38	34	32	27	20	28	32	25
Receptor-type tyrosine-protein phosphatase F OS=Homo sapiens GN=PTPRF PE=1 SV=2	PTPRF_HUMAN	213 kDa	48	58	53	64	67	50	12	12	9	20	11	11
Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2	IDHC_HUMAN	47 kDa	24	29	32	29	27	22	45	47	41	46	40	41
Proteasome subunit alpha type-1 OS=Homo sapiens GN=PSMA1 PE=1 SV=1	PSA1_HUMAN	30 kDa	31	28	30	28	27	26	41	40	29	33	34	31
